Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
-0.7713703,0.6914068,0.14248621,-0.85892403,-0.6252475
-0.6503688,-0.42945167,-0.24470274,1.0527623,-0.48928255
-0.17505775,-0.15752628,-0.5861232,-0.12728103,0.19889595
-1.2317482,1.1955205,-0.3808056,1.2374634,-0.81899476
1.5475774,-0.33879197,-0.49455884,0.9284643,0.5969327
-0.40731168,-0.35465086,-0.49733013,0.06950793,0.17894341
-0.60637116,0.7291427,1.9697009,-0.02890901,0.4516667
0.2504344,0.6201599,0.20993957,1.8060755,0.9807158
-0.058021106,-0.55528945,0.16052842,1.0702122,-0.45208997
0.032368757,-1.2255223,1.5085573,0.41461122,0.00029329956
1.7400974,1.643785,-0.24291794,0.54922736,-0.35413265
-1.3919479,-0.31516603,0.57500577,0.7109975,-0.6398442
1.4886037,-0.26458418,-0.56660515,-2.4553044,-0.80086213
-0.9126685,1.965495,-0.28721103,0.9166918,0.67862225
2.0985715,-1.8293053,-0.7841096,1.638455,0.12510398
-0.28480884,-0.82596296,-1.0456138,-2.195993,-0.30118817
1.6001979,0.8306017,-1.3457705,1.2790449,-0.36300087
1.6923984,-0.47208616,-0.27067345,-2.5522206,-0.68389374
1.4413996,1.0108244,1.4430251,0.9574812,0.4777864
1.3207743,0.9067854,1.3828996,0.3811036,-0.19820556
