Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
0.17517723,0.7561886,0.09119663,-1.6186049,-0.5526005,0.5622879,1.1172007,-1.6507407,-0.075730406,0.0,-0.008007286,0.5331798,0.0,0.6300185,-0.19112304,-0.17481893,0.0,0.0,0.0,0.0,0.0
-0.19751124,-0.18624106,0.35545838,0.6884451,-0.49493673,0.53464925,-2.072529,0.4414118,-0.0800964,0.0,-0.008007286,0.590196,0.0,-0.18816032,0.08576617,0.098436885,0.0,0.0,0.0,0.0,0.0
0.03874301,-0.33840108,-0.45083293,0.7139638,0.5689478,0.047878273,-1.5731685,-1.4661287,-0.08432282,0.0,-0.010968618,0.55796707,0.0,-0.17106046,-0.09078669,-0.15818433,0.0,0.0,0.0,0.0,0.0
-0.3029024,-1.2406282,-0.53450817,-1.5124912,-0.5496721,0.7553076,-0.08779858,-0.80542386,0.09326041,0.0,-0.032609396,0.48979804,0.0,-0.41979426,-0.09078669,-0.10053324,0.0,0.0,0.0,0.0,0.0
-0.16241974,0.19135368,0.021492463,0.30178735,-0.3885718,-2.3586752,-0.22145832,-0.4387505,-0.03825029,0.0,-0.008007286,-1.7424004,0.0,-0.36924404,-0.19112304,-0.115613684,0.0,0.0,0.0,0.0,0.0
-0.11505388,0.036596186,0.34670126,-1.5801989,0.56560016,0.10863758,-1.6769984,0.46733153,0.076851815,0.0,0.015353406,0.47615078,0.0,-0.31910354,0.08576617,-0.08947942,0.0,0.0,0.0,0.0,0.0
-0.252209,-0.63775814,-0.5849753,0.26096684,0.5903312,-0.6979252,-0.5730633,0.25870025,-0.1409159,0.0,-0.032609396,-2.618955,0.0,-0.37337792,-0.09078669,-0.072288536,0.0,0.0,0.0,0.0,0.0
-0.12655865,-0.34185418,-0.6447597,0.9501655,0.6769448,0.49045795,-0.8592151,-0.1762191,-0.1409159,0.0,-0.032609396,0.6822734,0.0,-0.15294625,0.04072944,0.055280678,0.0,0.0,0.0,0.0,0.0
0.19171892,0.77710545,-0.88989633,0.61351347,-0.18296379,1.4645466,0.21462241,-1.3240522,-0.08432282,0.0,-0.010968618,0.7222485,0.0,0.39886072,0.04072944,0.1513772,0.0,0.0,0.0,0.0,0.0
-0.17529956,-0.43494755,0.2905854,-0.19697088,0.3592047,-0.5936605,-1.9459723,0.4319257,0.08693439,0.0,0.015353406,0.48997846,0.0,-0.2911738,-0.19112304,-0.106114015,0.0,0.0,0.0,0.0,0.0
-0.030950904,-0.6201243,0.09886789,-1.8900375,-0.8019972,-0.06700331,-0.7944949,-1.4719392,0.071967915,0.0,0.037108026,0.38458514,0.0,-0.29134414,0.08576617,-0.10053324,0.0,0.0,0.0,0.0,0.0
0.052029043,-0.7025855,-0.3924474,-0.05068089,0.57208204,-1.749157,-0.86751187,-1.2051836,-0.1409159,0.0,-0.032609396,0.499337,0.0,-0.4342285,0.04072944,-0.08389863,0.0,0.0,0.0,0.0,0.0
0.21086292,-0.67330945,0.17764135,-2.1262643,-0.2535114,-0.60304123,-0.76349074,-1.4751261,-0.13629866,0.0,-0.019353012,0.38009787,0.0,-0.2801956,0.08576617,0.0740504,0.0,0.0,0.0,0.0,0.0
0.02421083,-0.7393551,-0.19808328,0.48678783,-0.40752605,-2.0703225,-0.45229912,0.034664944,-0.07311218,0.0,-0.019353012,-1.7426597,0.0,-0.2794225,0.08576617,0.09861372,0.0,0.0,0.0,0.0,0.0
0.13482952,0.45032078,-0.20223866,-1.0292597,-0.21424243,-3.1679244,-0.20443231,-1.0671395,0.07110925,0.0,0.02103155,0.3162507,0.0,-0.47347808,0.04072944,-0.115613684,0.0,0.0,0.0,0.0,0.0
0.006920811,-0.6968354,0.17852046,-1.1191406,0.31072402,-0.017230988,-0.06793997,-0.3619866,-0.057544515,0.0,-0.019353012,-1.9940141,0.0,-0.4444441,0.08576617,-0.074465685,0.0,0.0,0.0,0.0,0.0
0.18870164,-0.7454181,-0.503957,-2.3478396,-0.86299884,0.52273613,-0.6213997,-0.36802757,0.061034404,0.0,0.0625262,0.3943707,0.0,-0.28464118,-0.09078669,-0.10053324,0.0,0.0,0.0,0.0,0.0
0.12705638,0.454061,0.06487997,0.22964485,-0.28602332,-0.6873013,-0.37414473,-0.36200798,-0.048342213,0.0,-0.008007286,-2.783862,0.0,-0.4284996,0.08576617,-0.20088649,0.0,0.0,0.0,0.0,0.0
0.12938543,-0.27247003,0.2496735,0.19741973,0.058302768,1.4205743,0.07963295,-0.58755964,0.116644,0.0,-0.019353012,0.70537335,0.0,0.5538077,0.08576617,-0.074465685,0.0,0.0,0.0,0.0,0.0
-0.38555437,0.10005803,-0.19243626,-0.9694326,-0.25680685,-0.759723,-1.4957912,-1.2625436,0.07265123,0.0,0.015353406,0.410883,0.0,-0.30200365,0.08576617,0.1513772,0.0,0.0,0.0,0.0,0.0
