Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
-1.4963068,-0.27758443,-0.19617736,-2.6007853,0.1540377
0.60795856,-0.4566763,0.6610283,2.1061506,-0.5364128
-2.6310244,0.0099357795,-0.10658381,1.7333349,0.15820508
0.7206742,-0.48526746,-0.044290017,2.2479348,-0.24604769
0.20584649,-1.1398648,-0.3956375,-2.0500004,-0.5185453
-0.07310668,0.5616479,-0.16476221,1.5648458,0.33414197
0.40808395,-0.28026903,-0.24436554,1.5567397,-0.509267
-1.2170876,-0.4865509,0.56630415,-1.5709734,-0.9926053
1.4381444,-0.305934,0.11864649,-0.32450485,-0.34972253
0.65243024,1.0158448,-0.3217404,1.2787018,-0.52784795
0.05382993,-0.74974334,-0.299729,1.7158455,-1.5990274
-0.63650537,-0.9778934,-0.8487088,0.26694638,-0.014243022
-0.5037261,-0.044636384,-0.06848965,-1.1149814,-0.443354
-0.25604117,0.2573966,-0.12564878,-0.6928054,-0.70912296
0.5964445,0.75285125,-0.36248606,1.5348985,-0.4800424
-1.0636564,0.48925123,-0.21153425,-1.6861012,0.18957654
0.8611633,0.4212249,-0.31492507,0.2060766,0.67547363
0.59844995,0.40609914,0.28492397,-1.4513364,-1.165596
2.0479772,-0.6261562,-0.37544948,-0.74820393,-0.47935626
0.21350046,0.43014368,-0.15900241,1.4718848,0.2411419
