Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
-0.9621329,-0.12903823,-1.6113536,0.30585682,-1.1267626
-0.9783489,1.668466,-1.6116099,-0.067309976,-0.913534
-0.20139948,2.8546119,-0.8179696,0.22852519,-0.1391725
-0.71271306,-0.04249282,-0.24700008,-0.09614296,0.14212464
-0.6100354,-1.7194488,-0.990517,-0.4696459,-3.0644846
-0.2607723,-0.93849087,0.24240528,-0.3332058,-2.3922389
0.09057625,-0.32260752,-0.62766474,-0.36922708,-0.35413837
-0.46966565,-0.3298722,-0.93490875,-0.0024272064,1.9626136
0.51611555,-0.50331515,-0.15655215,0.9963597,0.8093994
-0.63215154,-0.23983936,-1.1827269,-0.5986957,-2.3930953
-0.010823151,-2.3230538,-0.63638335,-0.062812336,2.2003317
-0.21173726,1.537386,1.0318782,0.46845,-2.538846
-0.17039587,1.4241333,-1.4508917,0.5870982,-1.1012815
1.1066942,-0.85270315,-0.9015017,-0.33152398,-1.2316048
-0.15318497,1.3272239,-0.42902672,0.5500935,-1.6781105
-0.02905509,2.1777236,0.31251943,0.6330613,2.614068
-0.63920087,0.06698943,-0.5277465,0.11531134,-1.5285519
-0.063009545,1.2128026,0.1472943,0.19780344,-1.061595
-0.5925425,-0.20449837,2.306784,-0.10824933,-2.465884
0.09401831,0.21447873,1.1344577,-0.79379743,-0.63014513
