Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
0.22041917,-0.6222023,-0.30998847,0.014634291,-0.3647879
0.969543,-0.48700872,0.14840135,-1.1156414,-0.093063064
-0.9803409,-0.9766188,1.050574,0.2196447,-0.62948084
-0.67509955,1.5856131,0.8458332,-0.24524684,0.20903368
-1.4488212,0.9774547,0.23492041,1.1321205,0.070661284
-1.2514037,-0.32138574,-0.12766218,-0.20714532,-0.089952946
0.32764807,-0.75896,-0.35074311,-0.6255757,0.2777405
-1.7350379,-0.900254,-1.273267,0.3413986,-0.6966722
0.7937237,-0.22217326,1.0436673,-0.21867907,0.47337168
-0.8880821,0.0876887,-0.86934096,-0.7271933,-0.3402721
0.8490716,0.03923046,-0.6787777,-0.15627871,-0.04316406
-0.9768122,-0.22101374,0.86799127,0.076385595,-1.7784473
-1.3258725,2.3055365,0.30092177,-0.13476786,0.6465092
0.40125644,-0.40659994,0.55013585,-0.89102936,0.20048933
0.3210682,-0.073844336,0.2046949,-0.2657028,1.7484853
-0.54341847,0.519772,-0.3561021,0.6173812,-2.251125
-2.018284,-0.8914094,-0.1768179,-0.99287957,-0.06759928
-1.6028119,-0.70582896,-0.19391206,-1.4592324,0.1027952
0.8207804,-0.07635369,0.9317244,-0.31389567,1.9194297
1.4674946,1.9571283,0.1663918,-0.1649225,1.2341708
