Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114
-0.2563077,0.33299905,-0.110365815,0.7455798,-0.3184764,-0.18105392,-1.1575046,-3.3710332,0.0,0.0,0.0,0.7223291,-0.018356055,0.04251065,0.021487016,1.3216572,-0.029988673,0.00406483,0.0,0.0,0.0,0.0,0.0,0.0,0.02335905,0.037597366,0.0,0.25225505,0.0,0.0,1.4162132,0.0048281383,0.18859133,0.0,0.0003752201,0.0,0.0,0.0,0.0,0.93010837,0.020221708,0.0,0.0,-0.045545936,0.0,0.0,0.0,0.0,0.0,-0.11233634,0.0,0.0038870948,-0.054771848,0.0,0.0,0.007222621,0.0068460386,0.0,-0.13102004,0.0,0.0,0.0,0.0,0.0,0.10200609,0.0,0.0,0.07594967,0.0,0.0,0.0,0.0,-0.048411082,-0.023747806,0.0,0.0011315952,0.014743072,0.0011417975,0.0,0.0,0.0,-0.007924734,0.0,-0.0043562055,1.520475,0.0,0.0,0.0,0.0,-0.10093033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005309397,-0.021278648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.28389528,0.601091,-0.033786878,0.4738601,-1.3801341,-0.17030697,-1.2772868,-3.9595358,0.0,0.0,0.0,-0.161802,-0.052808598,0.04024581,-0.088277504,-0.14851566,-0.022441447,0.00406483,0.0,0.0,0.0,0.0,0.0,0.0,0.029788628,0.022189723,0.0,-0.005872815,0.0,0.0,-0.041172635,0.0048281383,-0.05322423,0.0,-0.0039508604,0.0,0.0,0.0,0.0,-0.7595995,-0.003173405,0.0,0.0,-0.09131215,0.0,0.0,0.0,0.0,0.0,-0.18453908,0.0,0.0038870948,-0.081337936,0.0,0.0,-0.0015747026,0.0068460386,0.0,-0.05947537,0.0,0.0,0.0,0.0,0.0,0.05534727,0.0,0.0,0.05806393,0.0,0.0,0.0,0.0,0.20585203,-0.023747806,0.0,0.0007409797,-0.0043763304,0.0007476655,0.0,0.0,0.0,-0.007924734,0.0,-0.006872995,-0.08155098,0.0,0.0,0.0,0.0,-0.120010346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.041509613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20297034,-0.38926622,0.22240525,-0.082850516,-0.99494374,-0.17637648,-1.0192739,-2.337434,0.0,0.0,0.0,-0.14324236,-0.017239558,-0.13644056,0.007884685,-0.14994751,-0.025369812,0.0038825534,0.0,0.0,0.0,0.0,0.0,0.0,0.029128488,0.011012396,0.0,-0.005872815,0.0,0.0,-0.041172635,0.0048281383,-0.2442629,0.0,0.12067685,0.0,0.0,0.0,0.0,0.018070439,-0.028639423,0.0,0.0,-0.08088879,0.0,0.0,0.0,0.0,0.0,0.5012274,0.0,0.0030505068,-0.09676702,0.0,0.0,-0.0019845972,0.015333235,0.0,0.5917911,0.0,0.0,0.0,0.0,0.0,-0.7066247,0.0,0.0,0.069343045,0.0,0.0,0.0,0.0,-0.13958444,-0.009452521,0.0,0.0011315952,-0.010170313,0.0011417975,0.0,0.0,0.0,-0.0031393603,0.0,0.15466292,-0.07292643,0.0,0.0,0.0,0.0,-0.14084803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.053371683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4443728,0.3721159,-0.018587664,0.58882993,-1.3899138,-0.21593758,-1.2551755,-4.148397,0.0,0.0,0.0,-0.21644267,-0.052808598,0.04251065,-0.14103013,-0.16660574,-0.053512402,0.00406483,0.0,0.0,0.0,0.0,0.0,0.0,0.02335905,0.024981428,0.0,-0.005872815,0.0,0.0,-0.041172635,0.0048281383,-0.04779751,0.0,-0.0039508604,0.0,0.0,0.0,0.0,-0.9264871,-0.003173405,0.0,0.0,-0.09137629,0.0,0.0,0.0,0.0,0.0,-0.18453908,0.0,0.0038870948,-0.081337936,0.0,0.0,-0.0015747026,0.0068460386,0.0,-0.5052434,0.0,0.0,0.0,0.0,0.0,0.057431128,0.0,0.0,0.062192276,0.0,0.0,0.0,0.0,0.20035528,-0.023747806,0.0,0.0011315952,-0.0043763304,0.0011417975,0.0,0.0,0.0,-0.007924734,0.0,-0.0043562055,-0.08155098,0.0,0.0,0.0,0.0,-0.13320127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.041509613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5913075,-0.14793295,-0.0016411031,0.6455509,1.7708644,0.3992154,0.7426592,4.0681376,0.0,0.0,0.0,-0.17721769,-0.040449195,0.13168535,-0.14103013,-0.09848435,-0.027193857,0.018631455,0.0,0.0,0.0,0.0,0.0,0.0,0.039348636,0.02804292,0.0,-0.0017294579,0.0,0.0,-0.010373326,0.020581026,-0.0328203,0.0,0.005791884,0.0,0.0,0.0,0.0,-0.6203504,-0.009214105,0.0,0.0,-0.031901002,0.0,0.0,0.0,0.0,0.0,-0.106535956,0.0,0.00579187,-0.06414172,0.0,0.0,0.06630526,0.0046469,0.0,-0.15329924,0.0,0.0,0.0,0.0,0.0,0.06961219,0.0,0.0,0.07143448,0.0,0.0,0.0,0.0,-0.007071432,-0.005636527,0.0,0.0035591598,-0.03195887,0.0035911836,0.0,0.0,0.0,-0.0012358547,0.0,0.010015618,-0.02401626,0.0,0.0,0.0,0.0,0.8764937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16643107,-0.018108685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010256824,0.79310536,-0.048256062,0.7593856,-0.7712905,-0.18637635,-1.021452,-0.8966683,0.0,0.0,0.0,-0.16707459,-0.052808598,0.03538669,-0.04502507,-0.2907009,-0.022441447,0.004290561,0.0,0.0,0.0,0.0,0.0,0.0,0.02147826,0.0131381005,0.0,-0.0017294579,0.0,0.0,-0.037845336,0.0039763073,0.02625453,0.0,-0.0031997915,0.0,0.0,0.0,0.0,-0.051955592,-0.008356272,0.0,0.0,-0.08402417,0.0,0.0,0.0,0.0,0.0,-0.19582261,0.0,0.0030505068,-0.08740975,0.0,0.0,0.0007050894,0.0067749238,0.0,-0.41818917,0.0,0.0,0.0,0.0,0.0,-0.8226642,0.0,0.0,-0.7582264,0.0,0.0,0.0,0.0,-0.11154567,-0.023747806,0.0,0.00054943573,-0.018515471,0.0005543955,0.0,0.0,0.0,-0.00304719,0.0,-7.910514e-05,-0.08155098,0.0,0.0,0.0,0.0,-0.16191082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.047344975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39074415,-0.58872795,-0.019228473,1.299442,-0.616475,0.6746007,0.4796051,0.88399744,0.0,0.0,0.0,0.6807684,-0.018356055,0.049631782,0.021487016,-0.26785386,-0.022327006,0.0054036584,0.0,0.0,0.0,0.0,0.0,0.0,0.017446214,0.034807555,0.0,-0.0017294579,0.0,0.0,-0.0126252575,0.00559904,0.01272568,0.0,0.005614871,0.0,0.0,0.0,0.0,-0.68875015,-0.028639423,0.0,0.0,-0.058491684,0.0,0.0,0.0,0.0,0.0,-0.20125775,0.0,0.00579187,-0.06629656,0.0,0.0,0.012104524,0.015333235,0.0,0.08190409,0.0,0.0,0.0,0.0,0.0,0.11035465,0.0,0.0,0.19003126,0.0,0.0,0.0,0.0,-0.18274981,-0.009909421,0.0,0.0035591598,0.016921233,0.0035911836,0.0,0.0,0.0,-0.0012358547,0.0,0.03129653,-0.02401626,0.0,0.0,0.0,0.0,1.0036819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037999882,-0.015682576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.108246624,-0.33481294,0.0195251,-0.6546547,1.2317225,-0.15732646,1.4816815,3.8265257,0.0,0.0,0.0,-0.16529967,0.07048051,0.14988486,0.021487016,-0.09076732,-0.054053478,0.018631455,0.0,0.0,0.0,0.0,0.0,0.0,0.03333705,0.041853346,0.0,-0.0017294579,0.0,0.0,-0.0126252575,0.020581026,0.055100776,0.0,0.005791884,0.0,0.0,0.0,0.0,-0.14380485,-0.009214105,0.0,0.0,-0.032830466,0.0,0.0,0.0,0.0,0.0,-0.07507985,0.0,-0.021796897,0.529515,0.0,0.0,0.05700632,0.015333235,0.0,-0.24735653,0.0,0.0,0.0,0.0,0.0,0.06521673,0.0,0.0,0.1044966,0.0,0.0,0.0,0.0,0.01993861,-0.005636527,0.0,0.0035591598,0.038396332,0.0035911836,0.0,0.0,0.0,-0.0012358547,0.0,0.010015618,-0.025050238,0.0,0.0,0.0,0.0,1.2571641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037999882,-0.019411292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.13890854,0.68163985,-0.10886246,0.60802007,-1.3973472,-0.22658592,-1.3765458,-4.0917697,0.0,0.0,0.0,-0.22258374,-0.052808598,0.04251065,0.021487016,-0.17610255,-0.053512402,0.00406483,0.0,0.0,0.0,0.0,0.0,0.0,0.017446214,0.037597366,0.0,-0.005872815,0.0,0.0,-0.041172635,0.0048281383,-0.042649783,0.0,-0.0039508604,0.0,0.0,0.0,0.0,-0.9935741,-0.0047998857,0.0,0.0,-0.09137629,0.0,0.0,0.0,0.0,0.0,-0.18453908,0.0,0.0038870948,-0.095383815,0.0,0.0,-0.0015747026,0.0068460386,0.0,-0.43734026,0.0,0.0,0.0,0.0,0.0,0.06100912,0.0,0.0,0.07542117,0.0,0.0,0.0,0.0,-0.060950097,-0.023747806,0.0,0.0011315952,-0.020482484,0.0011417975,0.0,0.0,0.0,-0.007924734,0.0,-0.0043562055,-0.08155098,0.0,0.0,0.0,0.0,-0.13365233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.053371683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39946914,-0.5918903,-0.017986538,-0.7622994,-0.48848635,0.44452566,1.4141303,4.042699,0.0,0.0,0.0,-0.20793597,0.07048051,0.14637583,0.021487016,-0.16086099,-0.08084915,0.016051456,0.0,0.0,0.0,0.0,0.0,0.0,0.041317776,0.042234346,0.0,-0.0017294579,0.0,0.0,-0.0126252575,0.020581026,-0.06072209,0.0,0.0027291744,0.0,0.0,0.0,0.0,-0.33381715,-0.028639423,0.0,0.0,-0.032830466,0.0,0.0,0.0,0.0,0.0,-0.122573756,0.0,0.042703293,-0.103712104,0.0,0.0,0.008598134,0.015333235,0.0,-0.34584665,0.0,0.0,0.0,0.0,0.0,0.06327587,0.0,0.0,0.14550157,0.0,0.0,0.0,0.0,-0.09222548,-0.023747806,0.0,0.0035591598,-0.013769327,0.0035911836,0.0,0.0,0.0,-0.0012358547,0.0,0.010015618,-0.025050238,0.0,0.0,0.0,0.0,-0.2055333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037999882,-0.038100615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.15641956,0.36210603,-0.11113314,0.49565873,-1.3021216,-0.27837986,-1.0766811,-3.7310748,0.0,0.0,0.0,-0.22984993,-0.052808598,-0.12546067,0.021487016,-0.14009057,-0.053512402,0.00406483,0.0,0.0,0.0,0.0,0.0,0.0,0.020961516,0.032581173,0.0,-0.005872815,0.0,0.0,-0.041172635,0.0048281383,0.049881298,0.0,0.00093608163,0.0,0.0,0.0,0.0,0.81558913,-0.0047998857,0.0,0.0,-0.0804767,0.0,0.0,0.0,0.0,0.0,-0.13646907,0.0,0.0030505068,-0.08376274,0.0,0.0,-0.0015747026,0.0068460386,0.0,-0.31874895,0.0,0.0,0.0,0.0,0.0,-0.73466927,0.0,0.0,0.06418826,0.0,0.0,0.0,0.0,-0.08071359,-0.023747806,0.0,0.0011315952,-0.018446155,0.0011417975,0.0,0.0,0.0,-0.007924734,0.0,-0.0043562055,-0.07734956,0.0,0.0,0.0,0.0,-0.12917413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012545593,-0.053371683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
